Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Rimer,P,CSUP,2014,3,2.04,0,2,19,0,0,0,1,3,17.2,17,6,4,18,12,4,0,0,64,0.266,2,5,0,No,No
Schoon,P,CSUP,2014,3,6.19,7,2,15,11,0,0,0,0,72.2,103,57,50,31,49,24,1,6,300,0.343,5,7,0,No,No
Smith,P,CSUP,2014,3,5.4,0,0,6,0,0,0,0,0,5,6,4,3,0,5,0,0,0,21,0.286,0,2,2,No,No
Soto,P,CSUP,2014,3,5.34,5,4,12,12,1,0,1,0,59,61,38,35,45,41,7,1,2,231,0.264,7,3,0,No,No
Sylvester,P,CSUP,2014,3,0,0,0,2,0,0,0,0,0,2,2,1,0,0,3,0,0,0,8,0.250,0,0,0,No,No
Thomas,P,CSUP,2014,3,6.75,0,0,2,0,0,0,0,0,2.2,5,2,2,2,2,2,0,0,12,0.417,0,0,0,No,No
Ballentine,P,CSUP ,2008,7,3.86 ,1,0 ,3,3 ,0 ,0,0 ,0 ,16.1 ,15 ,9 ,7 ,7 ,21 ,2 ,1 ,2 ,62 ,.242 ,1 ,1 ,0 ,No,No
Davitt,P,CSUP ,2008,7,10.10 ,3,6 ,12,10 ,0 ,0,0 ,0 ,51.2 ,94 ,65 ,58 ,26 ,32 ,17 ,3 ,7 ,233 ,.403 ,10 ,9 ,1 ,No,No
Garcia,P,CSUP ,2008,7,4.95 ,3,2 ,20,0 ,0 ,0,0 ,1 ,43.2 ,54 ,31 ,24 ,19 ,39 ,12 ,1 ,2 ,169 ,.320 ,5 ,3 ,0 ,No,No
Gomez,P,CSUP ,2008,7,5.86 ,2,1 ,5,5 ,0 ,0,0 ,0 ,27.2 ,31 ,18 ,18 ,12 ,23 ,5 ,1 ,5 ,109 ,.284 ,1 ,0 ,1 ,No,No
Harshman,P,CSUP ,2008,7,10.20 ,1,1 ,11,3 ,0 ,0,0 ,0 ,30.0 ,50 ,50 ,34 ,24 ,15 ,7 ,0 ,6 ,140 ,.357 ,6 ,4 ,2 ,No,No
Lewis,P,CSUP ,2008,7,8.84 ,0,0 ,10,0 ,0 ,0,0 ,0 ,19.1 ,31 ,22 ,19 ,13 ,12 ,5 ,0 ,0 ,86 ,.360 ,6 ,1 ,0 ,No,No
O'Connor,P,CSUP ,2008,7,7.71 ,0,4 ,16,0 ,0 ,0,0 ,2 ,21.0 ,26 ,23 ,18 ,19 ,24 ,8 ,0 ,1 ,89 ,.292 ,0 ,3 ,2 ,No,No
Snyder,P,CSUP ,2008,7,6.75 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.1 ,0 ,1 ,1 ,4 ,2 ,0 ,0 ,0 ,4 ,.000 ,1 ,0 ,0 ,No,No
Timmins,P,CSUP ,2008,7,5.55 ,2,2 ,11,5 ,0 ,0,0 ,0 ,35.2 ,33 ,27 ,22 ,34 ,24 ,9 ,3 ,3 ,138 ,.239 ,4 ,5 ,0 ,No,No
De Fratus,P,CSUP ,2011,4,4.66 ,0,0 ,10,0 ,0 ,0,0 ,1 ,9.2 ,11 ,6 ,5 ,4 ,4 ,3 ,1 ,1 ,36 ,.306 ,1 ,1 ,2 ,No,No
Dunn,P,CSUP ,2011,4,2.57 ,1,0 ,1,1 ,1 ,0,0 ,0 ,7.0 ,8 ,2 ,2 ,0 ,5 ,1 ,0 ,0 ,29 ,.276 ,1 ,0 ,0 ,No,No
Juarez,P,CSUP ,2011,4,5.63 ,2,4 ,16,7 ,0 ,0,0 ,2 ,54.1 ,68 ,41 ,34 ,22 ,37 ,13 ,2 ,3 ,214 ,.318 ,6 ,6 ,0 ,No,No
Maynor,P,CSUP ,2011,4,6.23 ,1,0 ,5,1 ,0 ,0,0 ,0 ,4.1 ,8 ,3 ,3 ,0 ,6 ,0 ,0 ,0 ,20 ,.400 ,0 ,0 ,0 ,No,No
